datetime_next15,actual_next15_kW,pred_baseline_kW,pred_model_kW
2025-07-29 07:30:00+05:00,196.0,136.47632641698968,143.42333333333335
2025-08-13 12:45:00+05:00,224.0,185.01869946941437,210.76666666666668
2025-02-21 09:00:00+05:00,545.0,492.12350857659095,538.74
2025-08-22 11:15:00+05:00,546.0,466.3663310385697,461.34
2025-05-20 06:00:00+05:00,48.0,36.419598288522465,55.86
2025-07-14 11:15:00+05:00,852.0,857.6772974815849,867.0366666666666
2025-07-12 11:45:00+05:00,913.0,903.2476885103918,905.8033333333333
2025-06-19 14:15:00+05:00,338.0,344.5150680702383,347.8066666666667
2025-07-07 12:30:00+05:00,93.0,97.84056010995779,95.47
2025-05-27 09:30:00+05:00,425.0,350.459032117474,394.1
2025-08-15 11:30:00+05:00,454.0,359.37497818832753,345.0466666666667
2025-07-06 17:00:00+05:00,72.0,87.933953364565,75.73333333333333
2025-05-21 14:15:00+05:00,402.0,501.0394546474445,473.22333333333336
2025-03-13 13:45:00+05:00,738.0,766.5365154239714,732.1033333333334
2025-05-05 16:30:00+05:00,261.0,317.7672298576778,256.86
2025-08-24 10:15:00+05:00,577.0,671.4330906682005,697.9333333333333
2025-07-04 09:30:00+05:00,240.0,193.93464554026787,205.16666666666666
2025-07-24 06:45:00+05:00,87.0,77.03668594463292,88.76333333333334
2025-10-06 13:15:00+05:00,52.0,112.70047022804698,86.68
2025-09-21 16:00:00+05:00,128.0,160.25218260593238,111.44
2025-09-15 16:30:00+05:00,77.0,83.97131066640787,74.16
2025-02-02 08:00:00+05:00,231.0,181.05605677125726,229.06333333333333
2025-08-17 09:00:00+05:00,465.0,429.71188608061635,464.17
2025-08-27 06:30:00+05:00,90.0,59.20479380292589,86.26
2025-09-19 10:00:00+05:00,741.0,706.1062142770752,719.42
2025-06-29 09:30:00+05:00,215.0,205.82257363473923,234.16333333333333
2025-01-16 11:30:00+05:00,382.0,442.59047484962696,423.50333333333333
2025-06-14 08:45:00+05:00,585.0,541.6565423035549,587.39
2025-10-18 09:00:00+05:00,353.0,321.7298725558349,364.6066666666667
2025-02-24 08:30:00+05:00,444.0,388.10413774996664,444.94666666666666
2025-05-02 15:00:00+05:00,595.0,640.7226097574828,590.6633333333333
2025-05-04 07:00:00+05:00,240.0,189.97200284211075,240.79
2025-06-26 09:15:00+05:00,137.0,156.28953990777526,160.08666666666667
2025-06-01 11:00:00+05:00,899.0,879.4718323214493,898.6666666666666
2025-04-18 09:45:00+05:00,755.0,714.0314996733896,756.2333333333333
2025-06-04 11:15:00+05:00,917.0,901.2663671613134,912.2733333333333
2025-10-21 06:30:00+05:00,73.0,38.40091963760103,63.11
2025-05-20 12:45:00+05:00,806.0,826.9668165708674,820.5333333333333
2025-05-08 08:30:00+05:00,509.0,519.8620074636908,567.3166666666667
2025-06-10 06:00:00+05:00,45.0,43.354223010297424,40.36666666666667
2025-10-02 16:45:00+05:00,67.0,100.81254213357562,69.86666666666666
2025-04-08 16:45:00+05:00,204.0,261.29957140893885,204.80666666666667
2025-02-15 13:15:00+05:00,828.0,843.8080480380352,826.46
2025-05-19 07:15:00+05:00,195.0,160.25218260593238,197.11333333333334
2025-06-20 17:30:00+05:00,113.0,162.23350395501095,119.42666666666666
2025-10-17 12:15:00+05:00,569.0,587.2269333323618,551.38
2025-02-09 07:30:00+05:00,146.0,102.79386348265419,148.06
2025-04-03 16:45:00+05:00,119.0,146.38293316238247,107.73666666666666
2025-07-12 14:00:00+05:00,638.0,756.6299086785784,692.46
2025-08-16 13:00:00+05:00,164.0,126.56971967159689,148.25
2025-06-10 14:30:00+05:00,307.0,417.823957986145,346.74
2025-03-25 06:30:00+05:00,83.0,42.36356233575815,79.29
2025-04-20 14:45:00+05:00,659.0,705.115553602536,661.9
2025-02-09 13:30:00+05:00,724.0,745.7326412586465,719.6133333333333
2025-04-12 15:00:00+05:00,589.0,644.68525245564,587.2333333333333
